Галицький академічний ліцей,(03431)23024,galych_gimnazium@i.ua,Тихонь Володимира Йосипівна,120,https://if.isuo.org//schools/view/id/10680
Галицький ліцей імені Ярослава Осмомисла,"(03431)21442, (03431)21712",halschool.n1@gmail.com,Савчук Марія Арсенівна,711,https://if.isuo.org//schools/view/id/10678
Блюдниківська ЗОШ,((034)31)31-684,blgal2010@meta.ua,Сиротинський Руслан Степанович,91,https://if.isuo.org//schools/view/id/10659
Вікторівська ЗОШ,0343134301,vk1gal2010@meta.ua,Ковальчук Ярослав Андрійович,98,https://if.isuo.org//schools/view/id/10660
Деліївська ЗОШ,(03431)35-595,dlgal2010@meta.ua,Кліщ Тетяна Анатоліївна,80,https://if.isuo.org//schools/view/id/10662
Дорогівська ЗОШ,36-634,drgal2010@meta.ua,Смичок Тетяна Володимирівна,72,https://if.isuo.org//schools/view/id/10663
Дубовецька ЗОШ,(03431)31424,db.gal2009@meta.ua,Опацька Тетяна Петрівна,263,https://if.isuo.org//schools/view/id/10661
Задністрянська ЗОШ,(03431)74493,zdgal2010@meta.ua,Белей Надія Михайлівна,160,https://if.isuo.org//schools/view/id/10664
Залуквянська ЗОШ,(03431)30419,zalukvazosh@ukr.net,Чаграк Володимир Омелянович,263,https://if.isuo.org//schools/view/id/10665
Комарівський ліцей ім. А. Могильницького,(03431)34214,kogal2009@meta.ua,Блинчук Василь Васильович,153,https://if.isuo.org//schools/view/id/10669
Крилоська ЗОШ,(03431)31241,Krgal2009@meta.ua,Фіголь Василь Данилович,151,https://if.isuo.org//schools/view/id/10668
Маріямпільська ЗОШ,-,marinopil@meta.ua,Осташ Ольга Степанівна,50,https://if.isuo.org//schools/view/id/10670
Мединський НВК,-,mdgal2010@meta.ua,Бойчук Василь Михайлович,202,https://if.isuo.org//schools/view/id/10671
Тустанська ЗОШ І-ІІІ ступенів,(03431)33472,ttgal2010@meta.ua,Костишин Віра Володимирівна,158,https://if.isuo.org//schools/view/id/10673
Бовшівська ЗОШ,(03431)77245,bvvgal@meta.ua,Романів Ганна Теодорівна,102,https://if.isuo.org//schools/view/id/10683
Бринська ЗОШ,337752,brgal2013@meta.ua,Мочічук Галина Миколаївна,82,https://if.isuo.org//schools/view/id/10684
Вікторівська ЗОШ І-ІІ ст.,34-313,vk2gal2010@meta.ua,Зелінська Марія Дмитрівна,72,https://if.isuo.org//schools/view/id/10686
Демянівська ЗОШ,(03438)58373,dmgal2010@meta.ua,Саранчук Марія Василівна,57,https://if.isuo.org//schools/view/id/10687
Дитятинська ЗОШ І-ІІ ступенів,(03431)7-62-22,dtgal2009@meta.ua,Білас Богдан Богданович,39,https://if.isuo.org//schools/view/id/10688
Медухівська ЗОШ І-ІІ ступенів,38-348,medgal2013@meta.ua,Юркевич Михайло Юрійович,26,https://if.isuo.org//schools/view/id/10692
Межигорецька ЗОШ,0974160925,buchkob@ukr.net,Бучко Богдан Володимирович,66,https://if.isuo.org//schools/view/id/10693
Насташинська ЗОШ,(03834)53342,ntgal2010@meta.ua,Сапєгін Віктор Анатолійович,70,https://if.isuo.org//schools/view/id/10672
Німшинська ЗОШ,(097)9814606,nimgal2011@meta.ua,Кузів Руслан Ярославович,44,https://if.isuo.org//schools/view/id/10695
Новомартинівський НВК,-,nmgal2010@meta.ua,Ляхович Роман Михайлович,66,https://if.isuo.org//schools/view/id/10696
Новоскоморохівська ЗОШ,-,nsgal2011@meta.ua,Конюк Мирослава Михайлівна,35,https://if.isuo.org//schools/view/id/10697
Слобідський НВК,(03431)52235,slgal20101947@meta.ua,Проців Надія Орестівна,52,https://if.isuo.org//schools/view/id/10700
Старомартинівська ЗОШ,0679090089,-,Савчук Маряна Михайлівна,0,https://if.isuo.org//schools/view/id/10701
Тумирська ЗОШ,(03431)355506,tmrgal2012@meta.ua,Колодій Надія Ярославівна,31,https://if.isuo.org//schools/view/id/10703
Височанська ЗЗСО,(03431)34255,-,Савчук Ольга Олексіївна,0,https://if.isuo.org//schools/view/id/10685
Колодіївський НВК,-,klgal2012@meta.ua,Фрик Віра Олексіївна,16,https://if.isuo.org//schools/view/id/10712
Сапогівський НВК,(38)0962609568,-,Кузь Галина Дмитрівна,22,https://if.isuo.org//schools/view/id/10713
Філія №1,(03431)22515,zarika2@email.ua,Назаренко Віра Богданівна,110,https://if.isuo.org//schools/view/id/10679
Філія №2 Галицького ліцею імені Ярослава Осмомисла,0983607340,pdgal2010@meta.ua,Бабак Марія Василівна,31,https://if.isuo.org//schools/view/id/10699
Філія №3 Галицького ліцею,(097)3497477,-,Павлик Ганна Іванівна,0,https://if.isuo.org//schools/view/id/10711
Кінчаківська ЗОШ філія,-,kkgal2010@meta.ua,-,16,https://if.isuo.org//schools/view/id/10667
Водниківська ЗОШ філія,(096)3664436,-,Білан Марія Євгенівна,0,https://if.isuo.org//schools/view/id/10708
Галицький МНВК,(03431)30349,galmnvk@gmail.com,Богдан Миколайович,0,https://if.isuo.org//schools/view/id/11737
закрита 4,(03431)35599,-,Мислюк Світлана Зіновіївна,1,https://if.isuo.org//schools/view/id/10682
закрита 1,-,-,-,0,https://if.isuo.org//schools/view/id/10706
закрита 2,-,-,-,0,https://if.isuo.org//schools/view/id/10698
закрита 3,(972)241,kugal2010@meta.ua,Гушуляк Михайло Ярославович,7,https://if.isuo.org//schools/view/id/10691
